,id,url,164
0,,profile/Zhaohao-Sun,<Page url='https://www.researchgate.net/https://www.researchgate.net/scientific-contributions/Shyamala-Chandrasekaran-2280091441?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InByb2ZpbGUiLCJwYWdlIjoicHVibGljYXRpb24iLCJwcmV2aW91c1BhZ2UiOiJfZGlyZWN0In19'>
1,,profile/Ahmed-Abdelwahed-11,4
2,,profile/Ahmad-Abu-Musa-3,5
3,,profile/Hosam-Moubarak,6
4,,profile/Hebatallah-Badawy,7
5,,profile/Yinusa-Bamimore,9
6,,profile/Ayorinde-Oduroye-2,10
7,,profile/Ali-Mir-Asif,20
8,,profile/Gina-Larasaty-2,22
9,,profile/Uemit-Demirbaga,26
10,,profile/Gagangeet-Aujla,27
11,,profile/Anish-Jindal-2,28
12,,profile/Oguzhan-Kalyon,29
13,,profile/Davide-Tosi,31
14,,profile/Marco-Roccetti,32
15,,profile/Srividya-Nadindla,36
16,,profile/Malsha-Hansani,38
17,,profile/Himashi-Dissanayaka,39
18,,profile/Lakmini-Walakumbura,40
19,,profile/Chandradeep-Bhatt,42
20,,profile/Ranjeet-Kumar-Singh-3,45
21,,profile/Ramin-Papi,47
22,,profile/Fedia-Ghedass,49
23,,profile/Faouzi-Charrada,50
24,,profile/C-Vijai-2,52
25,,profile/Sundarapandiyan-Natarajan-2,53
26,,profile/Jose-Galdon,55
27,,profile/Assefa-Senbeto,59
28,,profile/Huadong-Guo-2,61
29,,profile/Dong-Liang-23,62
30,,profile/Sukhpreet-Singh-16,65
31,,profile/Murali-Pasupuleti-2,67
32,,profile/Matthew-Willetts-2,71
33,,profile/Anthony-Atkins-3,72
34,,profile/Peter-Schmidt-4,75
35,,profile/Zsolt-Simonka,76
36,,profile/Amrish-Solanki,79
37,,profile/Nicola-Dimitri,82
38,,profile/Adeola-Adenubi,84
39,,profile/Adeniyi-Akanni,85
40,,profile/Aditya-Dev-Mishra,87
41,,profile/Atul-Srivastava-32,88
42,,profile/Aryan-Raut-2,90
43,,profile/Thomas-Lefevre-3,94
44,,profile/R-Sheeja-2,96
45,,profile/M-Adimoolam,97
46,,profile/Wandisa-Nyikana,101
47,,profile/Tiko-Iyamu,102
48,,profile/Ajay-Badhan-2,104
49,,profile/Rita-Roy-5,105
50,,profile/Matthew-Ogunbukola,108
51,,profile/Guillaume-Wunsch,113
52,,profile/Nozima-Akhmedova,115
53,,profile/Dishant-Banga,120
54,,profile/David-Mhlanga-2,122
55,,profile/Zidong-Yu,127
56,,profile/Xintao-Liu-2,128
57,,profile/Fancy-Chelladurai-2,130
58,,profile/Krishnaraj-Nagappan,131
59,,https://www.researchgate.net/scientific-contributions/Shyamala-Chandrasekaran-2280091441?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InByb2ZpbGUiLCJwYWdlIjoicHVibGljYXRpb24iLCJwcmV2aW91c1BhZ2UiOiJfZGlyZWN0In19,132
60,,profile/Nikolai-Eremin,134
61,,profile/Kanan-Mahmudlu-2,137
62,,profile/Fagan-Muzaffarli-2,138
63,,profile/Efosa-Idemudia,140
64,,profile/Shamik-Palit-2,142
65,,profile/Chandrima-Sinha-Roy,143
66,,profile/Vahid-Bakhtiary,145
67,,profile/John-Owen-20,151
68,,profile/Xiutong-Xu,153
69,,profile/Rajesh-Remala,155
70,,profile/Divya-Marupaka-2,156
71,,profile/Krishnamurty-Raju-Mudunuru,157
72,,profile/Yijie-Weng,159
